Período,Resíduo PARp,El Nino Forte,El Nino Médio,El Nino Fraco,La Nina Forte,La Nina Medio/Fraco,Manchas Solares,SOI,ENA,delta_ena,residuo_desp
Feb-50,0.87,0.00,0.00,0.00,1.00,0.00,94.80,17.60,4891,-3157.45,-1681.041836
Mar-50,-0.13,0.00,0.00,0.00,1.00,0.00,109.70,17.60,7626,-422.45,2620.900854
Apr-50,-0.28,0.00,0.00,0.00,1.00,0.00,113.40,16.80,3501,-4547.45,-3164.73696
May-50,-0.24,0.00,0.00,0.00,1.00,0.00,106.20,7.60,4476,-3572.45,-1445.42412
Jun-50,-0.29,0.00,0.00,0.00,1.00,0.00,83.60,26.90,3853,-4195.45,-3006.203125
Jul-50,-0.19,0.00,0.00,0.00,1.00,0.00,91.00,21.10,3702,-4346.45,-1698.148458
Aug-50,-0.47,0.00,0.00,0.00,1.00,0.00,85.20,12.30,6835,-1213.45,193.1643063
Sep-50,-0.18,0.00,0.00,0.00,1.00,0.00,51.30,6.90,5384,-2664.45,-3810.835681
Oct-50,0.21,0.00,0.00,0.00,1.00,0.00,61.40,17.10,17190,9141.55,7823.50048
Nov-50,0.76,0.00,0.00,0.00,1.00,0.00,54.80,12.50,6342,-1706.45,-4361.022588
Dec-50,-0.09,0.00,0.00,0.00,1.00,0.00,54.10,23.00,4836,-3212.45,-827.364664
Jan-51,-0.21,0.00,0.00,0.00,1.00,0.00,59.90,16.50,5776,-2272.45,112.72875
Feb-51,0.49,0.00,0.00,0.00,1.00,0.00,59.90,9.60,10946,2897.55,4015.387468
Mar-51,0.40,0.00,0.00,0.00,1.00,0.00,55.90,-1.40,10362,2313.55,2500.34562
Apr-51,-0.06,0.00,0.00,0.00,1.00,0.00,92.90,-1.30,3431,-4617.45,-5000.6187
May-51,-0.62,0.00,0.00,0.00,1.00,0.00,108.50,-6.60,1902,-6146.45,-3967.561164
Jun-51,-0.09,0.00,0.00,0.00,1.00,0.00,100.60,5.00,1899,-6149.45,-3423.786875
Jul-51,-0.29,0.00,0.00,0.00,1.00,0.00,61.50,-8.20,2442,-5606.45,-818.97129
Aug-51,-0.12,0.00,0.00,0.00,1.00,0.00,61.00,-0.50,1217,-6831.45,-4975.709018
Sep-51,-0.35,0.00,0.00,0.00,1.00,0.00,83.10,-7.00,1397,-6651.45,-4536.617108
Oct-51,-0.37,0.00,0.00,0.00,1.00,0.00,51.60,-8.00,13056,5007.55,5619.343801
Nov-51,-0.91,0.00,0.00,0.00,1.00,0.00,52.40,-3.40,9680,1631.55,746.659614
Dec-51,-0.42,0.00,0.00,0.00,,0.00,45.80,-3.00,5814,-2234.45,-1166.25516
Jan-52,-0.59,0.00,0.00,0.00,0.00,0.00,40.70,-9.20,3270,-4778.45,-2763.6375
Feb-52,0.29,0.00,0.00,0.00,0.00,0.00,22.70,-7.90,3049,-4999.45,-2220.670244
Mar-52,1.86,0.00,0.00,0.00,0.00,0.00,22.00,0.20,2037,-6011.45,-2099.145222
Apr-52,-0.81,0.00,0.00,0.00,0.00,0.00,29.10,-8.80,1759,-6289.45,-1299.165912
May-52,-0.66,0.00,0.00,0.00,0.00,0.00,23.40,6.00,957,-7091.45,-3674.188308
Jun-52,0.21,0.00,0.00,0.00,0.00,0.00,36.40,7.40,6677,-1371.45,1918.314625
Jul-52,-0.44,0.00,0.00,0.00,0.00,0.00,39.30,3.50,7527,-521.45,1845.275112
Aug-52,-0.33,0.00,0.00,0.00,0.00,0.00,54.90,-3.70,3017,-5031.45,-4988.190788
Sep-52,0.12,0.00,0.00,0.00,0.00,0.00,28.20,-3.40,9124,1075.55,2145.484964
Oct-52,-0.15,0.00,0.00,0.00,0.00,0.00,23.80,1.80,14442,6393.55,3265.232255
